chr,start,stop,strand,Cluster,pca_x,pca_y,umap_x,umap_y,tsne_x,tsne_y
chr1,16625589,16626081,-,0,21.211233,-4.4248796,24.666521,0.46944377,1.8084369,-33.062702
chr1,16888859,16889143,-,4,12.749355,-3.8527083,13.632648,11.204778,-23.88647,-32.05982
chr1,16891899,16892391,+,0,20.555109,-5.336876,21.978155,-4.560677,50.555428,-42.581226
chr1,16897803,16898295,+,0,20.555109,-5.336876,21.97805,-4.56227,51.36982,-42.22681
chr1,22838169,22838668,+,9,21.237556,0.10847707,5.087284,3.639668,18.88433,6.6639256
chr1,23661728,23662083,-,4,14.914145,-1.1226791,13.520811,10.591476,-20.429735,-25.713102
chr1,28660759,28661252,+,-1,21.079756,0.44130963,2.8492415,3.4680178,40.434742,10.13115
chr1,29643265,29643757,-,2,20.830158,-5.134298,5.199956,-11.957744,42.757072,-17.751842
chr1,29649208,29649700,-,2,20.830158,-5.134298,5.1999893,-11.95794,42.757072,-17.751842
chr1,30616437,30616930,+,9,19.25446,-0.08799659,3.0586295,2.3202136,15.708908,29.160315
chr1,34078357,34078849,+,0,21.596428,-4.4474454,24.764606,0.48844767,4.2806783,-36.394634
chr1,34084261,34084754,+,0,21.360481,-2.8300858,24.660574,0.49744055,4.525774,-30.270792
chr1,34358131,34358630,-,2,21.319752,-2.203723,8.37929,-7.0139155,40.689777,40.461414
chr1,34644652,34645144,-,0,21.596428,-4.4474454,24.769855,0.49112102,2.569841,-36.339233
chr1,34650556,34651048,-,0,21.596428,-4.4474454,24.78441,0.48676777,3.916315,-38.213
chr1,36031476,36031969,+,9,20.1747,0.32857463,5.3669252,3.3580902,5.260424,-24.383894
chr1,36037420,36037913,+,9,19.872852,1.0834341,5.376635,3.3275373,5.2604184,-24.382378
chr1,36278379,36278862,+,10,18.18647,5.53829,7.109978,6.342255,-43.204865,30.866508
chr1,36286251,36286744,+,9,20.229145,2.0773368,3.0703852,2.4516332,11.631636,27.140081
chr1,38456072,38456506,-,8,15.261731,5.6611,6.09725,7.194597,-46.270252,14.17522
chr1,43640740,43641180,-,7,17.40749,2.288428,3.6733742,6.4317255,-20.625978,-0.2617258
chr1,45129614,45130060,-,8,16.409365,5.709272,5.4706717,6.5931077,-33.510418,14.984669
chr1,47153136,47153630,+,9,20.181591,2.2661133,4.569389,3.2891626,-7.639312,21.044376
chr1,47749165,47749652,-,10,18.89049,5.5546794,5.9840307,5.439951,-26.00971,31.104269
chr1,48287978,48288453,+,10,19.973125,5.2387867,5.9447217,4.9648485,-22.391256,25.457659
chr1,48428769,48429134,-,4,13.31443,1.277289,13.551363,10.7279825,-22.509924,-24.888592
chr1,48507276,48507769,-,9,20.675339,1.2331971,3.1238337,2.4807367,14.031302,25.715782
chr1,50282783,50283223,+,7,18.243055,2.867548,4.008458,6.6209774,-26.972776,1.2496313
chr1,50368269,50368763,-,3,15.8413315,6.0344877,9.628082,10.93217,-56.40964,10.419551
chr1,50375052,50375180,-,5,3.4530668,1.8537663,15.152272,15.120493,-54.60853,-28.35764
chr1,50714379,50714887,+,3,15.158319,5.593171,9.638925,10.940694,-58.005135,9.92086
chr1,53653737,53654223,+,10,15.648296,4.286728,6.761523,5.8107214,-34.768684,36.663906
chr1,54889816,54890308,+,0,20.555109,-5.336876,21.982676,-4.5647593,51.213055,-42.405922
chr1,54895720,54896212,+,0,20.555109,-5.336876,21.981752,-4.563991,51.47723,-41.41897
chr1,55923629,55924121,+,0,21.596428,-4.4474454,24.784193,0.48400426,3.4311318,-39.784367
chr1,55929572,55930064,+,-1,21.310055,-4.3375425,12.984668,-0.5599841,15.028072,-43.14173
chr1,56091227,56091720,-,9,20.33771,0.051452644,4.018038,2.6481516,1.1696824,-1.1581228
chr1,56999041,56999529,-,10,19.77286,6.9571576,7.156631,6.273067,-39.02123,28.300827
chr1,58767161,58767654,-,10,20.151829,4.038972,6.3837442,5.2730875,-27.684526,36.19541
chr1,58938216,58938710,-,10,18.684576,2.970093,4.676597,4.8233743,-15.08494,10.508803
chr1,58944156,58944649,-,10,19.93794,3.4232287,4.7020583,4.91373,-15.072534,10.506841
chr1,60038607,60039099,+,2,20.830158,-5.134298,5.2001505,-11.957695,42.757072,-17.751842
chr1,64436512,64437004,+,9,20.197847,0.10948573,3.3537974,3.9148853,3.2336955,35.275673
chr1,70234524,70235017,+,-1,18.904537,-1.0025237,23.843357,16.40496,59.22062,7.7550797
chr1,73867857,73868348,-,0,21.246756,-4.273691,24.684189,0.4954555,-0.55149865,-30.876387
chr1,73873759,73874250,-,0,21.246756,-4.273691,24.652779,0.5065899,-0.55261886,-30.877235
chr1,74865306,74865466,-,4,4.6982417,2.4092548,13.563526,12.130277,-32.216137,-28.909134
chr1,77477533,77478025,+,0,20.439943,-4.387796,23.648058,1.3052452,-8.650022,-43.92887
chr1,77483437,77483924,+,0,20.202307,-4.453345,23.64651,1.3067008,-9.171839,-43.43087
chr1,79961761,79962253,+,4,21.127945,-4.672098,13.752225,10.184811,-2.2007494,-45.38484
chr1,79967665,79968157,+,4,21.127945,-4.672098,13.752759,10.183794,-2.2006376,-45.385002
chr1,80388188,80388675,-,10,18.312191,5.4348154,6.204776,5.5985513,-28.882418,25.346903
chr1,82396583,82397069,-,-1,19.120256,1.4651881,2.3973534,4.7150564,20.440063,40.419487
chr1,82402553,82403045,-,-1,19.353144,1.2927852,2.4002137,4.7109,20.459541,40.374203
chr1,82421115,82421607,-,-1,21.359612,-4.331148,2.9113662,7.5702486,15.676811,-21.423235
chr1,82427058,82427497,-,-1,18.657742,-2.1580153,3.1501403,7.269369,-2.4453294,-23.453993
chr1,83031132,83031678,+,9,23.370007,-2.179976,4.062125,2.6191063,2.0118454,-4.875337
chr1,83223858,83224351,-,9,20.547737,1.9536743,4.760117,3.129624,7.6189017,6.3430924
chr1,83795711,83796145,+,8,15.98859,5.439233,5.1608543,6.5972342,-32.521465,10.588237
chr1,84161334,84161780,+,7,17.189213,1.9247168,3.3724434,6.400062,-20.677055,-10.4269285
chr1,84167222,84167721,+,6,19.906395,0.816272,5.6925793,1.341431,20.139303,24.099148
chr1,84542424,84542864,-,8,17.57527,4.6898723,5.1092143,6.649648,-32.16795,9.601046
chr1,84548350,84548790,-,8,17.57527,4.6898723,5.072886,6.6459002,-32.16787,9.601204
chr1,85106227,85106767,+,-1,22.32904,-5.342916,-12.708245,3.1619692,1.6164126,-5.779729
chr1,85172507,85173000,+,9,20.696611,1.3206224,4.422937,3.3142717,5.385172,13.199758
chr1,85178483,85178976,+,9,19.828115,1.3915948,4.1823173,3.28192,5.0232387,13.203446
chr1,85266397,85266889,+,9,17.982552,-0.5825925,4.523089,2.7783036,-3.1307836,-4.228408
chr1,85603757,85604244,-,9,19.623642,-2.7840972,4.347701,2.640642,1.6512161,-5.659069
chr1,87514294,87514662,-,4,16.422815,-3.4044943,13.520667,10.5843725,-17.21004,-26.142725
chr1,87741514,87742007,-,9,20.641062,0.2034434,5.3025136,3.3956425,23.468779,6.7996697
chr1,87747266,87747759,-,9,20.641062,0.2034434,5.2830715,3.4137442,23.468779,6.7996697
chr1,88208098,88208612,+,3,11.486854,4.505567,10.032955,11.260882,-60.887436,2.5020537
chr1,88829727,88830220,-,-1,19.501293,-1.7523597,23.812492,16.389145,60.22298,5.5515566
chr1,88835671,88836164,-,-1,19.501293,-1.7523597,23.812954,16.389656,60.223324,5.551928
chr1,89252883,89253075,+,5,6.7390227,2.951976,15.591443,15.477176,-59.864098,-23.191557
chr1,93856905,93857345,+,7,18.24638,1.8921824,3.8151596,6.766524,-24.888134,-5.9066863
chr1,93896592,93897085,+,9,19.392147,0.6629278,4.466201,2.9788861,-6.859163,-0.9630485
chr1,93965701,93966191,+,9,17.949598,0.20101751,4.4310884,2.9270837,-6.8687243,-0.97930336
chr1,98766177,98766676,+,-1,18.878016,0.5785588,5.898072,-0.25058585,32.524693,9.060947
chr1,98772160,98772659,+,-1,18.878016,0.5785588,5.914908,-0.2268719,32.524693,9.060947
chr1,99082436,99082928,+,-1,20.720617,-2.7383485,12.210625,0.11228709,18.97484,-35.585762
chr1,101994704,101995197,-,9,19.664967,0.21248074,4.004249,3.2309039,10.601617,15.154118
chr1,105219072,105219506,+,8,15.550506,7.581942,5.7742705,6.856137,-38.7977,18.129232
chr1,105609795,105610266,-,10,18.844513,2.756371,5.743286,4.583099,-16.05952,29.756435
chr1,105615365,105615728,-,4,16.93892,-4.4221044,13.517385,10.577327,-16.870697,-26.34985
chr1,106415355,106415806,+,10,14.817175,4.419635,6.1517134,5.853172,-30.825731,22.853777
chr1,107793858,107794357,+,-1,20.06496,0.6584583,2.7091842,3.5692196,44.892994,3.319477
chr1,107799841,107800340,+,-1,19.875734,0.7215777,2.700861,3.5799615,44.890392,3.3236659
chr1,109528553,109528602,-,5,0.289945,0.09613578,14.211037,14.117193,-44.46199,-30.753477
chr1,111374221,111374409,+,4,5.797082,2.240566,13.584857,11.963596,-31.59831,-29.733719
chr1,112720974,112721472,-,9,20.975153,0.7393398,4.8874803,2.9668508,11.075246,6.2697816
chr1,113336788,113337286,+,-1,20.03057,-4.7705646,6.4300356,19.21494,51.599697,50.52345
chr1,113342771,113343269,+,-1,20.03057,-4.7705646,6.4306817,19.214819,51.599697,50.52345
chr1,113368240,113368720,+,9,17.949553,1.2464403,4.0592413,2.551971,0.7634629,-3.1099575
chr1,114603465,114603958,+,-1,19.370098,-1.7762405,23.819084,16.393614,59.319008,5.9923625
chr1,114609409,114609902,+,-1,19.370098,-1.7762405,23.805079,16.388094,59.319042,5.9923234
chr1,115375127,115375620,+,10,18.73351,1.4524589,4.7961,4.623496,-13.56114,13.201702
chr1,117611161,117611649,-,10,17.649109,5.35463,6.8127823,5.886856,-40.11698,34.988686
chr1,121621878,121622371,+,6,19.992,-0.49859488,6.6790524,0.35059905,17.731833,12.424827
chr1,122511219,122511712,-,10,19.664808,6.666123,6.300106,5.2391787,-26.763647,32.79619
chr1,122635837,122636330,-,6,20.891275,0.6260839,5.9898477,1.0561459,22.484802,20.611544
chr1,129233098,129233591,-,9,18.976072,0.9504072,4.4687138,2.7897248,-4.7516284,5.519672
chr1,129394079,129394572,-,6,20.869816,0.75798655,5.9550533,1.097066,22.054678,21.470295
chr1,129399902,129400395,-,6,20.869816,0.75798655,5.991713,1.0595565,22.05468,21.470291
chr1,131150481,131150967,-,10,17.312723,5.774969,6.3594894,5.1752467,-27.770208,38.078976
chr1,134124801,134125293,+,2,21.194803,-4.7934217,8.568348,-7.9349494,48.07854,33.825
chr1,134129452,134129944,+,2,21.194803,-4.7934217,8.5781355,-7.9462414,48.07854,33.825
chr1,134348585,134349078,+,9,20.631186,0.9570802,5.102182,3.394186,17.78629,6.5250683
chr1,136579775,136580268,+,-1,20.02729,-0.7575617,5.7680817,-0.3996186,28.515667,5.5940843
chr1,137062437,137062936,+,1,20.498058,-0.5603388,-0.4998195,12.900129,61.310013,0.63554275
chr1,137068348,137068847,+,1,20.498058,-0.5603388,-0.5044094,12.893954,61.31001,0.63554275
chr1,139924450,139924948,-,-1,20.977144,-5.2676306,8.656934,24.099428,53.750877,46.266243
chr1,139952469,139952967,-,-1,20.977144,-5.2676306,8.656515,24.099047,52.664623,45.20995
chr1,139958379,139958877,-,-1,20.977144,-5.2676306,8.6565695,24.099129,53.948128,44.7838
chr1,140720862,140721302,+,7,17.246565,-0.14711268,3.4972718,6.731155,-22.319864,-8.711589
chr1,140974478,140974977,+,10,19.441477,2.474053,5.7974677,4.6912603,-13.203867,33.824585
chr1,141220867,141221100,+,4,10.397844,-1.2954165,13.673991,11.397329,-27.930214,-33.10781
chr1,142047746,142048240,+,3,15.878959,4.74071,9.631567,10.9335575,-55.91044,7.836353
chr1,144674370,144674862,+,-1,18.607002,3.1635168,2.371991,4.7289667,17.34867,44.051243
chr1,144680313,144680805,+,-1,18.40695,3.280841,2.3688333,4.7314816,17.510656,43.97494
chr1,145078222,145078729,-,3,11.322043,3.2598708,10.015245,11.259101,-62.09988,2.4829588
chr1,146439844,146440284,+,7,17.80112,2.6617987,3.419149,6.637825,-21.646988,-4.5838857
chr1,148363633,148364072,-,7,17.198866,0.96749735,3.406111,6.5302896,-20.55837,-10.20681
chr1,148369517,148370009,-,6,20.63861,-0.5136617,5.8615804,1.1857033,22.726152,22.120298
chr1,149451025,149451464,+,-1,18.894558,-2.274312,3.1928427,7.232435,-4.285743,-24.265896
chr1,149456877,149457316,+,-1,18.894558,-2.274312,3.1803522,7.2455935,-4.285743,-24.265896
chr1,149599586,149600079,-,9,21.32002,0.96617997,3.2519217,4.0469346,2.3515048,33.6586
chr1,149605492,149605932,-,7,18.603188,2.0694807,3.5003357,6.181103,-16.329166,2.5269656
chr1,150625421,150625855,+,8,16.441805,4.7477136,5.5612206,6.8640666,-38.846863,9.399829
chr1,151399050,151399486,+,8,14.647362,6.746241,6.0521026,7.161505,-46.708973,14.395217
chr1,151865889,151866381,+,4,21.127945,-4.672098,13.752239,10.184028,-2.2006376,-45.385002
chr1,151871793,151872285,+,4,20.658403,-4.5931396,13.774901,10.150932,-1.7171218,-44.796307
chr1,152179160,152179648,-,10,18.877323,4.9262886,6.1698074,5.0986814,-22.352327,23.520025
chr1,152477533,152478026,+,9,21.512583,0.8348095,4.3427696,3.1275663,11.885042,14.683911
chr1,152483510,152484003,+,9,21.512583,0.8348095,4.349096,3.1865113,11.88505,14.683894
chr1,153938870,153939364,+,10,16.619654,6.091515,7.081699,6.26262,-44.338543,28.744576
chr1,155538577,155538807,-,4,9.836036,-2.4398923,13.672376,11.412223,-27.724,-32.50158
chr1,156725355,156725848,+,9,20.328497,0.87333375,4.284848,3.2383916,8.403748,16.733263
chr1,157460415,157460902,-,10,18.537987,5.5924077,6.8405724,5.9585605,-39.961613,34.6552
chr1,158655536,158655747,-,5,7.975827,3.3577266,15.589724,15.473822,-60.71982,-20.420406
chr1,158655739,158655805,-,4,1.4968837,1.6798053,13.646494,12.447057,-35.823177,-28.971386
chr1,162244885,162245164,+,4,3.877148,1.5510366,13.410743,12.409704,-36.671333,-26.391184
chr1,162245915,162246167,+,5,5.117844,2.465206,15.341455,15.130502,-49.25109,-25.48516
chr1,165087232,165087725,+,9,20.25207,0.77160007,3.2035773,4.088165,1.8152734,31.243307
chr1,165267255,165267747,-,-1,21.18325,-3.7144198,1.4865873,1.354017,30.030975,-15.951033
chr1,165273198,165273690,-,-1,21.18325,-3.7144198,1.4985657,1.3555845,30.030975,-15.951033
chr1,166566641,166567134,-,9,20.381018,0.73517495,4.4220686,3.0544348,3.9320397,13.680388
chr1,166620126,166620595,+,10,17.860626,5.060476,5.962551,5.3414774,-25.931997,22.054277
chr1,166626035,166626510,+,10,18.300257,5.290607,5.9150934,5.396783,-26.098429,22.126379
chr1,167557137,167557629,+,10,19.255129,4.940829,6.0928106,5.0077715,-22.858232,24.721434
chr1,167824006,167824499,-,-1,19.677391,-2.3222744,5.735001,2.8673139,24.774801,2.9517624
chr1,167829113,167829553,-,-1,17.536354,-1.2387729,3.1850195,7.2470064,-5.1644397,-23.104572
chr1,167833837,167834329,+,1,19.946566,-1.1641692,-0.5902136,13.547085,70.42481,-2.3336084
chr1,167839780,167840272,+,1,19.946566,-1.1641692,-0.5895544,13.540071,70.42481,-2.3336084
chr1,168603602,168604121,+,3,13.073773,2.8312306,9.970865,11.201209,-59.572876,1.3521862
chr1,170099217,170099735,-,3,14.426794,5.23769,9.858162,11.1218815,-57.13304,6.2451124
chr1,171835568,171836058,-,2,19.067287,-1.1759425,8.356619,-6.9719906,37.45846,44.938763
chr1,171881104,171881537,+,8,15.213601,6.834155,5.902455,7.0516133,-42.1772,13.49115
chr1,172800959,172801452,+,9,20.145658,1.5616255,3.161978,2.7873135,-1.6193818,13.755858
chr1,174205676,174205713,-,4,0.82731277,-0.34677956,13.921638,13.159938,-43.065384,-26.88049
chr1,175842547,175843045,+,-1,20.028913,-3.2324834,4.4101906,1.5030541,35.095753,-31.455065
chr1,175848457,175848955,+,-1,20.028913,-3.2324834,4.4115596,1.4989499,35.095753,-31.455065
chr1,176942144,176942198,+,5,1.3320788,0.3617122,14.433449,14.640327,-49.76603,-33.99917
chr1,177329244,177329648,-,8,14.110945,5.8570995,5.8270125,6.7766323,-38.430393,18.296223
chr1,177586433,177586922,+,10,18.901094,5.5725536,6.3409896,5.227992,-25.947983,28.865694
chr1,178844466,178844830,-,4,16.401724,-0.29073423,13.515718,10.582029,-18.076773,-24.18548
chr1,179689977,179690469,-,-1,21.18325,-3.7144198,1.4894978,1.3539772,30.030975,-15.951033
chr1,179693248,179693618,-,4,16.074003,-5.637371,13.554317,10.697602,-16.729086,-27.74315
chr1,180010681,180011179,-,9,21.160847,-1.2184215,4.1901083,2.4503944,6.393791,-0.52128273
chr1,180012676,180013174,-,9,21.160847,-1.2184215,4.204404,2.4195633,6.3938093,-0.52124053
chr1,183174277,183174724,+,7,16.141323,2.6950886,4.028419,6.459823,-23.580252,0.5307253
chr1,183539359,183539852,+,-1,19.098963,2.088358,5.837557,-1.8046618,5.093503,49.698055
chr1,183545303,183545796,+,-1,19.098963,2.088358,5.863825,-1.8304453,5.093503,49.698055
chr1,183620969,183621462,+,-1,17.664295,3.65934,5.6653833,5.8969984,-24.917517,47.343388
chr1,185563632,185564125,-,9,21.271832,-1.2421653,4.2370095,2.5602984,5.0805945,1.2579306
chr1,185569577,185570070,-,9,20.791111,-1.232554,4.1859703,2.5878668,5.086029,1.2561651
chr1,185621208,185621701,-,-1,20.557749,-0.6928971,5.77863,-0.3887972,27.354614,6.2147093
chr1,185627152,185627645,-,-1,20.557749,-0.6928971,5.7886186,-0.37834677,27.686031,6.5755672
chr1,186869511,186870010,-,-1,19.557558,0.12585698,5.7159963,-1.6827444,5.8759837,52.850636
chr1,186875461,186875960,-,-1,19.557558,0.12585698,5.708068,-1.6799673,5.8759837,52.850636
chr1,186902290,186902682,+,4,12.456349,-6.1751823,13.673161,11.196745,-24.655876,-33.473026
chr1,188608336,188608829,-,6,19.960588,-0.23702495,6.139518,0.88622737,26.014738,19.746803
chr1,188614313,188614805,-,6,19.913874,-0.2325658,6.1219525,0.9074804,26.014774,19.750614
chr1,188923409,188923901,-,1,20.406036,-5.2255764,-4.242392,15.286907,60.16244,-18.047047
chr1,188929385,188929877,-,1,20.406036,-5.2255764,-4.2166615,15.276938,60.16244,-18.047047
chr1,189393096,189393583,+,9,20.21948,0.97017074,4.1864324,3.788636,0.985625,15.756226
chr1,190325106,190325599,+,9,19.161404,0.754078,3.2378907,4.1005015,3.166748,32.679363
chr1,195228077,195228511,+,7,18.60355,1.9790899,3.7478454,6.530589,-22.052446,-1.7426146
chr10,4191099,4191591,+,1,20.841482,-5.446779,-4.2492237,15.204902,60.9903,-15.424286
chr10,4197043,4197535,+,1,20.841482,-5.446779,-4.2501593,15.2036085,60.750813,-16.84471
chr10,5580178,5580670,-,0,21.596428,-4.4474454,24.786398,0.49339327,3.511424,-37.466568
chr10,5586082,5586574,-,0,21.596428,-4.4474454,24.78808,0.49178296,5.06388,-37.353615
chr10,6635770,6636091,-,4,3.7094507,1.4906273,13.530852,12.464145,-36.955463,-27.099155
chr10,7423413,7423904,-,-1,20.596186,-3.847879,14.670164,-8.8627,-0.8119438,-52.33632
chr10,7429318,7429809,-,-1,20.596186,-3.847879,14.670701,-8.86219,-0.8119438,-52.33632
chr10,7795943,7796383,-,7,18.345053,1.8829303,3.681966,6.672945,-23.246744,-4.057825
chr10,10161075,10161569,+,10,17.282555,5.215966,7.1552954,6.2797074,-42.797665,27.184097
chr10,10263717,10264210,-,9,19.926308,2.9527252,4.898167,4.049533,-10.533378,8.008183
chr10,11218406,11218898,-,-1,19.87565,-4.7337213,-12.66846,3.207781,10.592852,-75.55786
chr10,11224310,11224802,-,-1,19.87565,-4.7337213,-12.664701,3.2111423,10.592852,-75.55786
chr10,11361011,11361498,+,9,19.870325,-0.9413645,3.9388995,2.672954,5.2339983,-4.879837
chr10,16557856,16557960,+,4,2.102785,1.6021674,13.642774,12.377327,-35.310432,-29.02837
chr10,16558289,16558675,+,3,9.306231,1.4960152,10.010824,11.226436,-60.799294,-1.068694
chr10,19729544,19730037,-,9,18.728622,4.0955143,5.0634537,4.514206,-19.472475,21.100533
chr10,19735522,19736015,-,10,18.709673,4.8520346,6.1303105,4.8969088,-19.619913,21.44032
chr10,22533273,22533772,-,9,21.438051,0.3371975,3.9975533,2.694497,4.4797287,-3.934906
chr10,22539259,22539758,-,9,21.111824,0.8035408,3.9608018,2.6462038,4.4607215,-3.8948598
chr10,23647646,23648131,-,7,17.935438,2.4308012,3.6079922,6.486735,-18.725355,-2.2951775
chr10,25622975,25623467,-,9,21.710335,-1.4837059,4.028328,2.603877,2.052727,-0.45138258
chr10,25628918,25629410,-,9,21.710335,-1.4837059,4.036969,2.5984387,2.0527306,-0.4514068
chr10,27879699,27880187,-,10,20.196661,5.548927,7.1587806,6.2720084,-38.612946,28.182943
chr10,27884892,27885384,+,0,20.597385,-3.451533,24.790165,0.1538111,7.8770967,-28.367004
chr10,29924281,29924772,+,-1,20.596186,-3.847879,14.671033,-8.861898,-0.8119438,-52.33632
chr10,29930181,29930672,+,-1,20.596186,-3.847879,14.671436,-8.861632,-0.8119438,-52.33632
chr10,29958551,29959050,+,-1,19.970207,-0.679497,2.9125388,3.3405147,46.18875,10.088967
chr10,30570717,30571210,+,9,21.742304,1.7323167,4.033607,3.7071946,2.7871678,18.81306
chr10,30576729,30577169,+,7,18.466043,2.121213,3.8662758,6.5348024,-22.449139,0.4672132
chr10,31979998,31980503,+,9,21.180185,1.054294,3.357288,3.901549,2.779244,34.788452
chr10,31985987,31986492,+,9,21.180185,1.054294,3.3480709,3.9020717,2.779244,34.788452
chr10,32336565,32337058,+,10,20.006088,5.725697,6.329961,5.430143,-26.385023,28.343296
chr10,36857864,36858304,-,8,16.517115,6.267256,5.7942696,6.8655214,-38.9715,15.905197
chr10,36942318,36942812,-,2,18.355753,1.2685424,8.292601,-6.8775144,32.726288,44.09016
chr10,36948296,36948790,-,2,19.088882,1.0445688,8.292744,-6.873736,32.71949,43.841743
chr10,37009505,37009945,+,7,18.15769,4.22579,4.42694,6.690611,-32.065884,5.6202703
chr10,37272997,37273035,+,5,0.77641124,0.26177073,14.311365,14.398886,-47.3202,-31.24566
chr10,38547135,38547634,-,9,20.063417,1.6279477,4.644952,2.9586227,16.479319,21.398254
chr10,38835665,38836181,+,3,14.199434,4.6485476,9.678166,10.969634,-57.552402,5.647721
chr10,44816126,44816310,-,5,6.66787,3.3443825,15.573702,15.468069,-59.569004,-22.502544
chr10,45177725,45178270,+,1,23.543364,-7.6199117,-4.2722535,15.180633,62.150257,-22.415617
chr10,46471967,46472407,+,7,17.745825,2.293973,3.408538,6.2330093,-15.661129,-4.4459157
chr10,47068244,47068735,+,2,20.636354,-5.380518,8.566735,-7.930787,44.490044,33.447094
chr10,47074147,47074638,+,2,20.636354,-5.380518,8.562635,-7.921603,44.32035,33.80165
chr10,49853521,49853986,+,10,17.649033,4.6933775,6.085458,5.4043303,-26.92029,25.943453
chr10,50289999,50290491,-,-1,20.533987,-4.0953736,2.8954298,7.5910935,14.837019,-20.803823
chr10,50295942,50296434,-,-1,20.533987,-4.0953736,2.8948405,7.5915375,14.837019,-20.803823
chr10,51436630,51437129,+,9,20.52752,1.920458,5.0454593,4.0330067,-8.000241,15.631432
chr10,51442574,51443073,+,9,20.52752,1.920458,5.069513,4.077409,-8.000262,15.63152
chr10,52052526,52053018,+,0,21.596428,-4.4474454,24.78791,0.4993752,3.2349026,-35.711212
chr10,52058430,52058922,+,0,21.596428,-4.4474454,24.790073,0.5027638,3.1799688,-38.158497
chr10,52205751,52206255,+,1,20.2522,0.068747155,-0.4923223,12.893239,59.830475,11.889135
chr10,52211706,52212210,+,1,20.2522,0.068747155,-0.48142695,12.887056,59.830475,11.889135
chr10,53569620,53570112,-,-1,19.87565,-4.7337213,-12.6591625,3.21769,10.592852,-75.55786
chr10,53575563,53576055,-,-1,19.87565,-4.7337213,-12.658788,3.214266,10.685028,-77.05311
chr10,53719381,53719895,+,3,11.831492,5.0565925,9.985703,11.224185,-61.829205,3.665185
chr10,54696700,54697193,+,6,19.916119,0.18262519,5.62949,1.385816,18.428095,24.6934
chr10,56062267,56062759,+,10,19.035583,5.530119,6.1537285,5.420652,-28.983654,26.298048
chr10,57850035,57850497,-,3,10.732772,3.0245388,10.034364,11.2421055,-61.51867,-0.61971134
chr10,59850517,59851015,+,-1,20.977144,-5.2676306,8.6563835,24.098946,53.750877,46.266243
chr10,59856427,59856925,+,-1,20.977144,-5.2676306,8.656715,24.09935,53.750877,46.266243
chr10,60546606,60547104,+,0,20.586061,-5.301446,21.973337,-4.556366,48.95408,-42.41422
chr10,60552555,60553053,+,0,20.586061,-5.301446,21.972597,-4.5618496,48.860783,-41.975014
chr10,61042548,61043041,-,10,20.123936,4.7937546,6.3908296,5.2593107,-27.241085,35.897575
chr10,61515155,61515642,-,9,20.7328,1.3608997,3.875133,3.019177,6.662527,12.953156
chr10,62733428,62733920,-,-1,21.21049,-4.1155057,11.914384,1.317534,20.611225,-26.478601
chr10,62735867,62736359,-,-1,21.21049,-4.1155057,11.914756,1.3174733,20.611225,-26.478601
chr10,63896341,63896558,-,4,8.0049715,1.7480185,13.586364,11.772533,-29.753435,-28.712433
chr10,65822418,65822851,+,8,14.183895,7.589662,5.8015103,6.8991723,-39.054996,19.550146
chr10,66809539,66810032,+,-1,19.462538,0.033711497,-12.059356,3.6726894,1.8591825,-73.97843
chr10,71012731,71013224,-,-1,20.660479,-1.4189117,24.249506,16.569412,65.7496,8.18664
chr10,71018675,71019168,-,-1,20.660479,-1.4189117,24.249807,16.570122,65.7496,8.18664
